epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15609.9,1.17417,1.14998,1.47636,0.86469,0.72746,0.78808,0.53894,1.11446,0.76958,1.34229,0.000763985,0.000763985,0.000763985
43,15979.9,1.15183,1.11996,1.47061,0.87335,0.72649,0.79941,0.55439,1.07544,0.74073,1.31312,0.000762235,0.000762235,0.000762235
44,16350.5,1.15745,1.14195,1.48179,0.85319,0.74552,0.78928,0.54831,1.08486,0.7493,1.30918,0.000760446,0.000760446,0.000760446
45,16720.9,1.14875,1.10368,1.46018,0.85069,0.73431,0.78665,0.53979,1.12272,0.76256,1.35283,0.000758618,0.000758618,0.000758618
46,17091.2,1.15665,1.11881,1.47423,0.87276,0.7364,0.80147,0.55443,1.12242,0.72855,1.3375,0.000756751,0.000756751,0.000756751
47,17461.9,1.14128,1.08909,1.4507,0.86944,0.73839,0.7971,0.55793,1.08673,0.75514,1.32291,0.000754846,0.000754846,0.000754846
48,17832,1.14309,1.13189,1.46326,0.87092,0.73609,0.79165,0.55062,1.0954,0.75,1.3244,0.000752901,0.000752901,0.000752901
49,18202.4,1.13409,1.07721,1.44316,0.85702,0.74255,0.79857,0.55741,1.07674,0.73781,1.31179,0.000750918,0.000750918,0.000750918
50,18572.7,1.14342,1.10382,1.46039,0.88909,0.72539,0.79565,0.55632,1.07497,0.72744,1.30779,0.000748898,0.000748898,0.000748898
51,18943.3,1.11459,1.06644,1.43765,0.87046,0.74658,0.80446,0.55792,1.09034,0.72256,1.32146,0.000746839,0.000746839,0.000746839
52,19313.5,1.11944,1.07287,1.43598,0.86891,0.74852,0.79967,0.56048,1.09065,0.73014,1.32675,0.000744742,0.000744742,0.000744742
53,19684,1.13911,1.0746,1.45078,0.86051,0.7483,0.80209,0.5602,1.0867,0.71856,1.31249,0.000742609,0.000742609,0.000742609
54,20054.4,1.11592,1.05013,1.42423,0.88747,0.73974,0.81433,0.57485,1.04663,0.69347,1.2864,0.000740437,0.000740437,0.000740437
55,20424.7,1.12376,1.06356,1.44291,0.88252,0.73958,0.80815,0.56692,1.05728,0.7156,1.29602,0.000738229,0.000738229,0.000738229
56,20795.3,1.10815,1.05147,1.427,0.88426,0.74082,0.81325,0.57118,1.06628,0.70072,1.2935,0.000735984,0.000735984,0.000735984
57,21166,1.11339,1.05915,1.43812,0.88271,0.74519,0.80905,0.56962,1.06393,0.70755,1.29647,0.000733703,0.000733703,0.000733703
58,21535.9,1.12231,1.06661,1.43893,0.88451,0.74244,0.80926,0.56997,1.07623,0.69908,1.30975,0.000731386,0.000731386,0.000731386
59,21906.2,1.10673,1.05712,1.42888,0.87906,0.75047,0.81136,0.56984,1.07182,0.6991,1.30312,0.000729032,0.000729032,0.000729032
60,22276.7,1.1198,1.05107,1.437,0.88371,0.74013,0.81572,0.57346,1.06049,0.69034,1.29394,0.000726643,0.000726643,0.000726643
61,22646.9,1.1109,1.05699,1.42254,0.88229,0.74569,0.82055,0.57457,1.05892,0.68346,1.29099,0.000724218,0.000724218,0.000724218
62,23017.3,1.08551,1.01615,1.40337,0.88363,0.75276,0.82201,0.57301,1.06482,0.68124,1.29156,0.000721758,0.000721758,0.000721758
63,23387.6,1.09679,1.04237,1.41912,0.90839,0.73593,0.8223,0.57453,1.05646,0.67445,1.2841,0.000719263,0.000719263,0.000719263
64,23758.1,1.09289,1.0281,1.42139,0.90312,0.75205,0.82007,0.57358,1.06323,0.67752,1.288,0.000716734,0.000716734,0.000716734
65,24128.7,1.08716,1.01348,1.40814,0.89825,0.75111,0.82326,0.58094,1.03593,0.6705,1.27065,0.00071417,0.00071417,0.00071417
66,24499.2,1.09634,1.0385,1.41046,0.90144,0.74446,0.82069,0.57495,1.06335,0.67407,1.29124,0.000711572,0.000711572,0.000711572
67,24869.7,1.07256,0.99976,1.39839,0.90296,0.74576,0.82334,0.57737,1.05196,0.67165,1.28329,0.00070894,0.00070894,0.00070894
68,25240.1,1.08403,1.01716,1.405,0.8911,0.7504,0.82438,0.58362,1.04089,0.6709,1.27244,0.000706274,0.000706274,0.000706274
69,25610.8,1.07619,1.01254,1.40213,0.89367,0.7516,0.82379,0.58187,1.04377,0.66543,1.27422,0.000703576,0.000703576,0.000703576
70,25981.3,1.06607,0.98227,1.39992,0.89415,0.75313,0.82456,0.58309,1.04535,0.66543,1.27425,0.000700844,0.000700844,0.000700844
71,26351.7,1.08272,0.99288,1.39786,0.89579,0.75144,0.82087,0.57735,1.05917,0.6695,1.28889,0.00069808,0.00069808,0.00069808
72,26721.9,1.07644,1.022,1.3986,0.88827,0.75129,0.82004,0.578,1.05432,0.66478,1.2848,0.000695283,0.000695283,0.000695283
73,27092.3,1.0753,1.00005,1.40941,0.88481,0.7604,0.8222,0.57677,1.0521,0.67048,1.2766,0.000692455,0.000692455,0.000692455
74,27462.5,1.07402,0.99673,1.39897,0.87546,0.76111,0.82158,0.57715,1.04859,0.67291,1.26878,0.000689594,0.000689594,0.000689594
75,27832.8,1.08325,1.01885,1.40994,0.89116,0.75802,0.82511,0.5781,1.04781,0.66016,1.27019,0.000686703,0.000686703,0.000686703
76,28202.9,1.04859,0.95588,1.38105,0.88664,0.76229,0.82815,0.58138,1.0417,0.65457,1.2648,0.00068378,0.00068378,0.00068378
77,28573.5,1.0594,0.98436,1.38526,0.88593,0.75839,0.82767,0.5825,1.03429,0.65051,1.26088,0.000680826,0.000680826,0.000680826
78,28943.6,1.07195,0.98202,1.40046,0.89222,0.75355,0.82688,0.58451,1.03083,0.65104,1.25909,0.000677842,0.000677842,0.000677842
79,29314.6,1.05522,0.99039,1.39168,0.89183,0.758,0.82701,0.58403,1.03332,0.65288,1.2622,0.000674828,0.000674828,0.000674828
80,29684.8,1.05826,0.98386,1.38294,0.8871,0.75593,0.82609,0.5822,1.03891,0.65181,1.26727,0.000671784,0.000671784,0.000671784
81,30055.7,1.06022,0.97914,1.3929,0.88826,0.75672,0.82797,0.58517,1.03299,0.65095,1.26302,0.000668711,0.000668711,0.000668711
82,30426,1.05528,0.9879,1.38967,0.88657,0.75476,0.82893,0.58744,1.02767,0.64846,1.25839,0.000665609,0.000665609,0.000665609
83,30797.1,1.0488,0.95857,1.36891,0.88059,0.75657,0.82863,0.58771,1.02933,0.65184,1.25914,0.000662477,0.000662477,0.000662477
84,31167.9,1.04835,0.96742,1.3765,0.88738,0.75262,0.82757,0.58506,1.03192,0.65353,1.25963,0.000659318,0.000659318,0.000659318
85,31538.2,1.04648,0.95068,1.37305,0.88231,0.75794,0.82895,0.58451,1.03333,0.65184,1.26018,0.00065613,0.00065613,0.00065613
86,31908.6,1.05053,0.95358,1.38524,0.8839,0.7583,0.83102,0.58557,1.03716,0.6467,1.26253,0.000652914,0.000652914,0.000652914
87,32279.1,1.04212,0.95598,1.37183,0.88512,0.75477,0.83089,0.58741,1.03418,0.64477,1.2597,0.000649671,0.000649671,0.000649671
88,32649.5,1.03546,0.94519,1.36641,0.8898,0.75049,0.83278,0.59035,1.02524,0.64086,1.25279,0.000646402,0.000646402,0.000646402
89,33020.1,1.04289,0.963,1.37272,0.88076,0.75472,0.83379,0.59023,1.02357,0.63737,1.25186,0.000643105,0.000643105,0.000643105
90,33390.5,1.04186,0.97263,1.3808,0.87532,0.76066,0.83358,0.59167,1.02255,0.63776,1.2527,0.000639782,0.000639782,0.000639782
91,33761.5,1.05019,0.96034,1.37722,0.87415,0.76022,0.83405,0.59277,1.01532,0.63686,1.24624,0.000636433,0.000636433,0.000636433
92,34131.9,1.045,0.94295,1.37663,0.89532,0.74399,0.83503,0.59594,1.01249,0.6329,1.24396,0.000633059,0.000633059,0.000633059
93,34503.1,1.03475,0.93963,1.36802,0.89182,0.74722,0.83526,0.5956,1.01349,0.63116,1.24313,0.000629659,0.000629659,0.000629659
94,34873.5,1.0259,0.92776,1.35409,0.89119,0.74857,0.83495,0.59558,1.01428,0.62984,1.24285,0.000626235,0.000626235,0.000626235
95,35243.3,1.03879,0.95083,1.36445,0.90027,0.74793,0.83536,0.5962,1.01171,0.62778,1.24126,0.000622786,0.000622786,0.000622786
96,35614.2,1.03491,0.96079,1.37338,0.90046,0.74935,0.83535,0.59594,1.00875,0.62613,1.23906,0.000619313,0.000619313,0.000619313
97,35984.6,1.0268,0.93046,1.36515,0.89797,0.75036,0.83544,0.59696,1.00594,0.62628,1.23719,0.000615816,0.000615816,0.000615816
98,36355.2,1.03002,0.92948,1.36467,0.89976,0.75302,0.83613,0.59749,1.00451,0.62466,1.23546,0.000612296,0.000612296,0.000612296
99,36725.9,1.01955,0.92294,1.35174,0.90292,0.75201,0.83699,0.59842,1.00505,0.6241,1.23564,0.000608753,0.000608753,0.000608753
100,37096.2,1.03287,0.9474,1.3727,0.90383,0.75185,0.83735,0.59856,1.00571,0.62271,1.23614,0.000605188,0.000605188,0.000605188
